post_id,title,url,code,country,category,process,issue_fish_in_meat_context,issue_cheese_in_meat_context,issue_generic_swine_fish_combo,issue_wrong_no_casing_for_sausage,issue_casing_for_whole_cut,issue_generic_text,issue_dirty_title,issue_type_sir,issue_review_food_group,issue_count,recommendation
2476,"Engleski pork pie (svinjetina u tijestu)",https://drycured.com/recepti-baza/engleski-pork-pie-svinjetina-u-tijestu/,MD-ENGLESKI_PORK_PIE_SVINJETINA_U_TIJESTU,Hrvatska,"suhomesnati proizvod",soljenje/salamurenje,YES,NO,YES,NO,NO,YES,NO,NO,YES,4,REVIEW_CATEGORY_OR_SCOPE
2478,"Suitsink (Dimljena svinjska šunka)",https://drycured.com/recepti-baza/suitsink-dimljena-svinjska-sunka/,MD-SUITSINK_DIMLJENA_SVINJSKA_SUNKA,Estonija,"Pršut | sušena šunka","dimljenje + sušenje + soljenje/salamurenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2480,"Talleliha (Polutrajno sušena govedina)",https://drycured.com/recepti-baza/talleliha-polutrajno-susena-govedina/,MD-TALLELIHA_POLUTRAJNO_SUSENA_GOVEDINA,Estonija,"Sušeni dimljeni cijeli komad","sušenje + zrenje + soljenje/salamurenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2481,"Sealiha õlis (Svinjsko meso u ulju)",https://drycured.com/recepti-baza/sealiha-olis-svinjsko-meso-u-ulju/,MD-SEALIHA_OLIS_SVINJSKO_MESO_U_ULJU,Hrvatska,"suhomesnati proizvod","sušenje + zrenje + soljenje/salamurenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2501,"Slovačka Klobása (Slovenská Klobása)",https://drycured.com/recepti-baza/slovacka-klobasa-slovenska-klobasa/,MD-SLOVACKA_KLOBASA_SLOVENSKA_KLOBASA,Slovačka,"Suha kobasica","dimljenje + sušenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2503,"RIIPUTETTU HIRVENLIHA (SUHO-ZRELA JELENOVINA)",https://drycured.com/recepti-baza/riiputettu-hirvenliha-suho-zrela-jelenovina/,MD-RIIPUTETTU_HIRVENLIHA_SUHO_ZRELA_JELENOVINA,Finska,"suhomesnati proizvod","sušenje + zrenje + soljenje/salamurenje",YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2504,"SAVUSIIKA (DIMLJENI SIIKA - BIJELA RIBA)",https://drycured.com/recepti-baza/savusiika-dimljeni-siika-bijela-riba/,MD-SAVUSIIKA_DIMLJENI_SIIKA_BIJELA_RIBA,Finska,"dimljena riba","hladno dimljeno",NO,NO,NO,NO,NO,YES,NO,NO,YES,2,REVIEW_CATEGORY_OR_SCOPE
2505,"METSOPAISTI (SUHO-SALAMURENI TETRIJEB)",https://drycured.com/recepti-baza/metsopaisti-suho-salamureni-tetrijeb/,MD-METSOPAISTI_SUHO_SALAMURENI_TETRIJEB,Finska,"suha salama","dimljenje + sušenje + zrenje + soljenje/salamurenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2506,"LAMPAAN ILMAKUIVATTU KYLKI (ZRAČNO-SUŠENA JANJEĆJA PRSA)",https://drycured.com/recepti-baza/lampaan-ilmakuivattu-kylki-zracno-susena-janjecja-prsa/,MD-LAMPAAN_ILMAKUIVATTU_KYLKI_ZRACNO_SUSENA_JANJECJA_PRSA,Hrvatska,"suhomesnati proizvod","sušenje + zrenje + soljenje/salamurenje",YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2508,"SAVUPORONLIHA (DIMLJENO SOBOVO MESO)",https://drycured.com/recepti-baza/savuporonliha-dimljeno-sobovo-meso/,MD-SAVUPORONLIHA_DIMLJENO_SOBOVO_MESO,Finska,"suhomesnati proizvod","dimljenje + sušenje + zrenje + soljenje/salamurenje",YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2510,"ILMAKUIVATTU PORONPAISTI (ZRAČNO-SUŠENI SOBOV BUT)",https://drycured.com/recepti-baza/ilmakuivattu-poronpaisti-zracno-suseni-sobov-but/,MD-ILMAKUIVATTU_PORONPAISTI_ZRACNO_SUSENI_SOBOV_BUT,Finska,"suhomesnati proizvod","sušenje + soljenje/salamurenje",YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2511,"GRAAVILOHI (GRAVLAX - FINSKI MARINIRANI LOSOS)",https://drycured.com/recepti-baza/graavilohi-gravlax-finski-marinirani-losos/,MD-GRAAVILOHI_GRAVLAX_FINSKI_MARINIRANI_LOSOS,Finska,"marinirana/gravirana riba","sol + šećer + hladno odležavanje",NO,NO,NO,NO,NO,YES,NO,NO,YES,2,REVIEW_CATEGORY_OR_SCOPE
2513,"LONZO CORSE",https://drycured.com/recepti-baza/lonzo-corse/,MD-LONZO_CORSE,Francuska,"suhomesnati proizvod",sušenje,YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2525,"Dulse and Yellowman Bacon (Slanina s morskom travom)",https://drycured.com/recepti-baza/dulse-and-yellowman-bacon-slanina-s-morskom-travom/,MD-DULSE_AND_YELLOWMAN_BACON_SLANINA_S_MORSKOM_TRAVOM,Irska,"Sušeni dimljeni cijeli komad","dimljenje + sušenje + soljenje/salamurenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2526,"Caillín Báin (Bieli spek - Irska verzija slanine sa začinima)",https://drycured.com/recepti-baza/caillin-bain-bieli-spek-irska-verzija-slanine-sa-zacinima/,MD-CAILLIN_BAIN_BIELI_SPEK_IRSKA_VERZIJA_SLANINE_SA_ZACINIMA,Irska,"suhomesnati proizvod","sušenje + soljenje/salamurenje",YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2527,"Marrowbone Roll (Rolana kobasica s koštanom srži)",https://drycured.com/recepti-baza/marrowbone-roll-rolana-kobasica-s-kostanom-srzi/,MD-MARROWBONE_ROLL_ROLANA_KOBASICA_S_KOSTANOM_SRZI,Hrvatska,"Suha kobasica",Kuhano,YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2529,"Irski soljena govedina (Corned Beef)",https://drycured.com/recepti-baza/irski-soljena-govedina-corned-beef/,MD-IRSKI_SOLJENA_GOVEDINA_CORNED_BEEF,Irska,"Sušeni dimljeni cijeli komad",soljenje/salamurenje,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2530,"Irska šunka u pivu (Beer-Cured Ham)",https://drycured.com/recepti-baza/irska-sunka-u-pivu-beer-cured-ham/,MD-IRSKA_SUNKA_U_PIVU_BEER_CURED_HAM,Hrvatska,"Pršut | sušena šunka",soljenje/salamurenje,YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2533,"Bjúgu (Islandska dimljena kobasica)",https://drycured.com/recepti-baza/bjugu-islandska-dimljena-kobasica/,MD-BJUGU_ISLANDSKA_DIMLJENA_KOBASICA,Island,"Suha kobasica","dimljenje + sušenje",YES,NO,NO,NO,NO,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2540,"Hrútspungar (Prešana janjeća muda)",https://drycured.com/recepti-baza/hrutspungar-presana-janjeca-muda/,MD-HRUTSPUNGAR_PRESANA_JANJECA_MUDA,Hrvatska,"suhomesnati proizvod","Kuhano | soljeno",YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2543,"Lundabaggar (Dimljena prskalina od janjetine)",https://drycured.com/recepti-baza/lundabaggar-dimljena-prskalina-od-janjetine/,MD-LUNDABAGGAR_DIMLJENA_PRSKALINA_OD_JANJETINE,Hrvatska,"suhomesnati proizvod","dimljenje + sušenje",YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2544,"Moldavska Cârnaţi de Oaie (Kobasica od Ovčetine)",https://drycured.com/recepti-baza/moldavska-carnati-de-oaie-kobasica-od-ovcetine/,MD-MOLDAVSKA_CARNA_I_DE_OAIE_KOBASICA_OD_OVCETINE,Moldavija,"Suha kobasica","dimljenje + sušenje + zrenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2545,"Estonska Suitsusink (Dimljena Šunka)",https://drycured.com/recepti-baza/estonska-suitsusink-dimljena-sunka/,MD-ESTONSKA_SUITSUSINK_DIMLJENA_SUNKA,Estonija,"Pršut | sušena šunka","dimljenje + sušenje + zrenje + soljenje/salamurenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2546,"Sudžuk (Sudžuk Kosovar)",https://drycured.com/recepti-baza/sudzuk-sudzuk-kosovar/,MD-SUDZUK_SUDZUK_KOSOVAR,Kosovo,"Suha kobasica","fermentacija + sušenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2549,"Suxhuk me Spec (Sudžuk s paprikom)",https://drycured.com/recepti-baza/suxhuk-me-spec-sudzuk-s-paprikom/,MD-SUXHUK_ME_SPEC_SUDZUK_S_PAPRIKOM,Hrvatska,"Suha kobasica",sušenje,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2553,"Skilandis (litavska dimljena kobasica)",https://drycured.com/recepti-baza/skilandis-litavska-dimljena-kobasica/,MD-SKILANDIS_LITAVSKA_DIMLJENA_KOBASICA,Litva,"Suha kobasica","punjenje + dimljenje/sušenje/zrenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2554,"Kindziukas (litavska dimljena šunka)",https://drycured.com/recepti-baza/kindziukas-litavska-dimljena-sunka/,MD-KINDZIUKAS_LITAVSKA_DIMLJENA_SUNKA,Litva,"Pršut | sušena šunka","dimljenje + sušenje + soljenje/salamurenje",NO,NO,NO,NO,YES,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2555,"Lašiniai (litavska slanina)",https://drycured.com/recepti-baza/lasiniai-litavska-slanina/,MD-LASINIAI_LITAVSKA_SLANINA,Litva,"Sušeni dimljeni cijeli komad","dimljenje + sušenje + soljenje/salamurenje",NO,NO,NO,NO,YES,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2556,"Vytinta dešra (litavska suha kobasica)",https://drycured.com/recepti-baza/vytinta-desra-litavska-suha-kobasica/,MD-VYTINTA_DESRA_LITAVSKA_SUHA_KOBASICA,Litva,"Suha kobasica","fermentacija + dimljenje + sušenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2557,"Rūkyti lašišos (dimljen losos na litavski način)",https://drycured.com/recepti-baza/rukyti-lasisos-dimljen-losos-na-litavski-nacin/,MD-R_KYTI_LASISOS_DIMLJEN_LOSOS_NA_LITAVSKI_NACIN,Litva,"dimljena riba","dimljenje + soljenje",NO,NO,NO,NO,NO,YES,NO,NO,YES,2,REVIEW_CATEGORY_OR_SCOPE
2558,"Pounje Planinski Vrtlog",https://drycured.com/recepti-baza/pounje-planinski-vrtlog/,MD-POUNJE_PLANINSKI_VRTLOG,Hrvatska,"suhomesnati proizvod","dimljenje + sušenje + soljenje/salamurenje",NO,NO,NO,NO,NO,YES,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2560,"Drežnički Šušanj",https://drycured.com/recepti-baza/dreznicki-susanj/,MD-DREZNICKI_SUSANJ,"Hrvatska | Nepoznato","suhomesnati proizvod","dimljenje + sušenje + soljenje/salamurenje",NO,NO,NO,NO,NO,YES,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2561,"Gospićki Vjetar",https://drycured.com/recepti-baza/gospicki-vjetar/,MD-GOSPICKI_VJETAR,Mađarska,"suhomesnati proizvod","dimljenje + sušenje + soljenje/salamurenje",YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2563,"Maltežanska kobasica (Zalzett Malti)",https://drycured.com/recepti-baza/maltezanska-kobasica-zalzett-malti/,MD-MALTEZANSKA_KOBASICA_ZALZETT_MALTI,Malta,"Suha kobasica",sušenje,YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2564,"Maltežanski pršut (Prosciutto Malti)",https://drycured.com/recepti-baza/maltezanski-prsut-prosciutto-malti/,MD-MALTEZANSKI_PRSUT_PROSCIUTTO_MALTI,Malta,"Pršut | sušena šunka","sušenje + zrenje + soljenje/salamurenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2565,"Maltežanska suha govedina (Carne Secca Maltija)",https://drycured.com/recepti-baza/maltezanska-suha-govedina-carne-secca-maltija/,MD-MALTEZANSKA_SUHA_GOVEDINA_CARNE_SECCA_MALTIJA,Malta,"Sušeni dimljeni cijeli komad","sušenje + soljenje/salamurenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2571,"Zaprešićki Vrganjevi Narezak",https://drycured.com/recepti-baza/zapresicki-vrganjevi-narezak/,MD-ZAPRESICKI_VRGANJEVI_NAREZAK,Hrvatska,"suhomesnati proizvod",Sušeno,YES,NO,YES,NO,NO,YES,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2572,"Medžimurski Divljač Narezak",https://drycured.com/recepti-baza/medzimurski-divljac-narezak/,MD-MEDZIMURSKI_DIVLJAC_NAREZAK,Hrvatska,"suhomesnati proizvod",Sušeno,NO,NO,NO,NO,NO,YES,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2573,"Gornjomurečki Začinski Narezak",https://drycured.com/recepti-baza/gornjomurecki-zacinski-narezak/,MD-GORNJOMURECKI_ZACINSKI_NAREZAK,Hrvatska,"suhomesnati proizvod",Sušeno,NO,NO,NO,NO,NO,YES,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2574,"ȘUNCĂ AFUMATĂ (DIMLJENA ŠUNKA)",https://drycured.com/recepti-baza/sunca-afumata-dimljena-sunka/,MD-UNC_AFUMAT_DIMLJENA_SUNKA,Moldavija,"Pršut | sušena šunka","dimljenje + sušenje + soljenje/salamurenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2575,"PASTRAMĂ DE OAIE (OVČJA PASTRAMA)",https://drycured.com/recepti-baza/pastrama-de-oaie-ovcja-pastrama/,MD-PASTRAM_DE_OAIE_OVCJA_PASTRAMA,Hrvatska,"suhomesnati proizvod","dimljenje + sušenje + soljenje/salamurenje",YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2576,"CÂRNAȚ AFUMAT (DIMLJENE KOBASICE)",https://drycured.com/recepti-baza/carnat-afumat-dimljene-kobasice/,MD-CARNA_AFUMAT_DIMLJENE_KOBASICE,Rumunjska,"Suha kobasica","dimljenje + sušenje + zrenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2577,"Droge Worst (Suha kobasica)",https://drycured.com/recepti-baza/droge-worst-suha-kobasica/,MD-DROGE_WORST_SUHA_KOBASICA,Nizozemska,"Suha kobasica","fermentacija + sušenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2579,"Spekdikken (Slanina s medom)",https://drycured.com/recepti-baza/spekdikken-slanina-s-medom/,MD-SPEKDIKKEN_SLANINA_S_MEDOM,Nizozemska,"Sušeni dimljeni cijeli komad","dimljenje + sušenje + soljenje/salamurenje",NO,NO,NO,NO,YES,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2587,"VOSSAKORV (TRADICIONALNA DIMLJENA KOBASICA IZ VOSSA)",https://drycured.com/recepti-baza/vossakorv-tradicionalna-dimljena-kobasica-iz-vossa/,MD-VOSSAKORV_TRADICIONALNA_DIMLJENA_KOBASICA_IZ_VOSSA,Hrvatska,"Suha kobasica",dimljenje,YES,NO,NO,NO,NO,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2589,"SPEKELÅR (SUŠENA I DIMLJENA JELEN/SRNETINA)",https://drycured.com/recepti-baza/spekelar-susena-i-dimljena-jelen-srnetina/,MD-SPEKELAR_SUSENA_I_DIMLJENA_JELEN_SRNETINA,Hrvatska,"suhomesnati proizvod","dimljenje + sušenje + soljenje/salamurenje",YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2594,"GRAVET LAKS (GRAVLAKS - MARINIRANI LOSOS)",https://drycured.com/recepti-baza/gravet-laks-gravlaks-marinirani-losos/,MD-GRAVET_LAKS_GRAVLAKS_MARINIRANI_LOSOS,Norveška,"marinirana/gravirana riba","sol + šećer + hladno odležavanje",NO,NO,NO,NO,NO,YES,NO,NO,YES,2,REVIEW_CATEGORY_OR_SCOPE
2597,"FENALÅR (SUŠENI BUT JANJETA)",https://drycured.com/recepti-baza/fenalar-suseni-but-janjeta/,MD-FENALAR_SUSENI_BUT_JANJETA,Norveška,"suhomesnati proizvod","sušenje + soljenje/salamurenje",YES,NO,NO,NO,NO,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2598,"SPEKESKINKE (NORŠKA PRŠUTA)",https://drycured.com/recepti-baza/spekeskinke-norska-prsuta/,MD-SPEKESKINKE_NORSKA_PRSUTA,Hrvatska,"Pršut | sušena šunka","sušenje + soljenje/salamurenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2600,"MORR (NORVEŠKA KOBASICA)",https://drycured.com/recepti-baza/morr-norveska-kobasica/,MD-MORR_NORVESKA_KOBASICA,Norveška,"Suha kobasica",dimljenje,YES,NO,NO,NO,NO,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2603,"Vinkovački Aromatični Začinski Špek",https://drycured.com/recepti-baza/vinkovacki-aromaticni-zacinski-spek/,MD-VINKOVACKI_AROMATICNI_ZACINSKI_SPEK,Hrvatska,"Sušeni dimljeni cijeli komad","dimljenje + sušenje + zrenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2608,"Kuru Et (Suho meso sa smrekom)",https://drycured.com/recepti-baza/kuru-et-suho-meso-sa-smrekom/,MD-KURU_ET_SUHO_MESO_SA_SMREKOM,Turska,"Sušeni cijeli komad","dimljenje + sušenje + soljenje/salamurenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2610,"Tulum Peyniri Dolgulu Et (Meso punjeno sirom)",https://drycured.com/recepti-baza/tulum-peyniri-dolgulu-et-meso-punjeno-sirom/,MD-TULUM_PEYNIRI_DOLGULU_ET_MESO_PUNJENO_SIROM,Turska,"sušeni zreli sir","sušenje + zrenje + soljenje/salamurenje",NO,NO,NO,NO,NO,YES,NO,YES,YES,3,REVIEW_CATEGORY_OR_SCOPE
2614,"Virovski Čvarci",https://drycured.com/recepti-baza/virovski-cvarci/,MD-VIROVSKI_CVARCI,Hrvatska,"suhomesnati proizvod",Sušeno,NO,NO,NO,NO,NO,YES,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2616,"BALERON (POLJSKA DIMLJENA VRATINA)",https://drycured.com/recepti-baza/baleron-poljska-dimljena-vratina/,MD-BALERON_POLJSKA_DIMLJENA_VRATINA,Poljska,"suhomesnati proizvod","dimljenje + sušenje + zrenje + soljenje/salamurenje",NO,NO,NO,NO,YES,YES,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2620,"SZYNKA WĘDZONA (DIMLJENA ŠUNKA)",https://drycured.com/recepti-baza/szynka-wedzona-dimljena-sunka/,MD-SZYNKA_W_DZONA_DIMLJENA_SUNKA,Poljska,"Pršut | sušena šunka","dimljenje + sušenje + zrenje + soljenje/salamurenje",NO,NO,NO,NO,YES,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2621,"BOCZEK WĘDZONY (DIMLJENA SLANINA)",https://drycured.com/recepti-baza/boczek-wedzony-dimljena-slanina/,MD-BOCZEK_W_DZONY_DIMLJENA_SLANINA,Poljska,"Sušeni dimljeni cijeli komad","dimljenje + sušenje + zrenje + soljenje/salamurenje",NO,NO,NO,NO,YES,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2622,"Chouriço Tradicional Português (Tradicionalna portugalska kobasica)",https://drycured.com/recepti-baza/chourico-tradicional-portugues-tradicionalna-portugalska-kobasica/,MD-CHOURICO_TRADICIONAL_PORTUGUES_TRADICIONALNA_PORTUGALSKA_KOBASICA,Portugal,"Suha kobasica","fermentacija + dimljenje + sušenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2623,"Presunto Português (Portugalska pršuta)",https://drycured.com/recepti-baza/presunto-portugues-portugalska-prsuta/,MD-PRESUNTO_PORTUGUES_PORTUGALSKA_PRSUTA,Portugal,"Pršut | sušena šunka","sušenje + zrenje + soljenje/salamurenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2624,"Paio Alentejano (Alentejanska kobasica)",https://drycured.com/recepti-baza/paio-alentejano-alentejanska-kobasica/,MD-PAIO_ALENTEJANO_ALENTEJANSKA_KOBASICA,Hrvatska,"Suha kobasica","fermentacija + dimljenje + sušenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2625,"Farinheira Alentejana (Kobasica s brašnom iz Alenteja)",https://drycured.com/recepti-baza/farinheira-alentejana-kobasica-s-brasnom-iz-alenteja/,MD-FARINHEIRA_ALENTEJANA_KOBASICA_S_BRASNOM_IZ_ALENTEJA,Portugal,"Suha kobasica","dimljenje + sušenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2627,"Chouriço de Vinho (Kobasica s Vinom)",https://drycured.com/recepti-baza/chourico-de-vinho-kobasica-s-vinom/,MD-CHOURICO_DE_VINHO_KOBASICA_S_VINOM,Hrvatska,"Suha kobasica","dimljenje + sušenje + zrenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2628,"Paio do Alentejo (Alentejo Dimljena Kobasica)",https://drycured.com/recepti-baza/paio-do-alentejo-alentejo-dimljena-kobasica/,MD-PAIO_DO_ALENTEJO_ALENTEJO_DIMLJENA_KOBASICA,Hrvatska,"Suha kobasica","dimljenje + sušenje + zrenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2629,"Alheira de Mirandela (Kobasica iz Mirandele)",https://drycured.com/recepti-baza/alheira-de-mirandela-kobasica-iz-mirandele/,MD-ALHEIRA_DE_MIRANDELA_KOBASICA_IZ_MIRANDELE,Portugal,"Suha kobasica","dimljenje + sušenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2631,"Rovinjska Kobasica",https://drycured.com/recepti-baza/rovinjska-kobasica/,MD-ROVINJSKA_KOBASICA,Hrvatska,"Suha kobasica","fermentacija + sušenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2632,"Krčki Sir-Kobasica",https://drycured.com/recepti-baza/krcki-sir-kobasica/,MD-KRCKI_SIR_KOBASICA,Hrvatska,"Suha kobasica","dimljenje + zrenje",YES,NO,NO,NO,NO,NO,NO,NO,YES,2,REVIEW_CATEGORY_OR_SCOPE
2633,"Senjska Šunka",https://drycured.com/recepti-baza/senjska-sunka/,MD-SENJSKA_SUNKA,Hrvatska,"Pršut | sušena šunka",sušenje,YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2637,"Tradicionalni Thüringer Schinken (Tirinška šunka)",https://drycured.com/recepti-baza/tradicionalni-thuringer-schinken-tirinska-sunka/,MD-TRADICIONALNI_THURINGER_SCHINKEN_TIRINSKA_SUNKA,Nepoznato,"Pršut | sušena šunka","dimljenje + sušenje + soljenje/salamurenje",NO,NO,NO,NO,YES,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2638,"Bavarski Bierschinken (Šunka od piva)",https://drycured.com/recepti-baza/bavarski-bierschinken-sunka-od-piva/,MD-BAVARSKI_BIERSCHINKEN_SUNKA_OD_PIVA,Njemačka,"Pršut | sušena šunka",dimljenje,NO,NO,NO,NO,YES,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2645,"Viganjska kobasica od divlje svinje s tavom",https://drycured.com/recepti-baza/viganjska-kobasica-od-divlje-svinje-s-tavom/,MD-VIGANJSKA_KOBASICA_OD_DIVLJE_SVINJE_S_TAVOM,Hrvatska,"Suha kobasica","dimljenje + sušenje",YES,NO,YES,NO,NO,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
2664,"BABIC (Tradicionalna babić kobasica)",https://drycured.com/recepti-baza/babic-tradicionalna-babic-kobasica/,MD-BABIC_TRADICIONALNA_BABIC_KOBASICA,Hrvatska,"Suha kobasica",sušenje,YES,NO,NO,NO,NO,NO,NO,NO,NO,1,AUTO_FIX_RENDER_TEXT
2665,"MUȘCHI ȚIGĂNESC (Ciganski vrat)",https://drycured.com/recepti-baza/muschi-tiganesc-ciganski-vrat/,MD-MU_CHI_IG_NESC_CIGANSKI_VRAT,Rumunjska,"suhomesnati proizvod",sušenje,YES,NO,YES,NO,YES,YES,NO,NO,NO,4,AUTO_FIX_RENDER_TEXT
2666,"CÂRNAȚI DE BURDUF (Sirnate kobasice)",https://drycured.com/recepti-baza/carnati-de-burduf-sirnate-kobasice/,MD-CARNA_I_DE_BURDUF_SIRNATE_KOBASICE,Rumunjska,"Suha kobasica",sušenje,YES,NO,NO,NO,NO,NO,NO,NO,YES,2,REVIEW_CATEGORY_OR_SCOPE
2667,"ȘUNCĂ DE MANGALIȚA AFUMATĂ (Dimljena mangulica šunka)",https://drycured.com/recepti-baza/sunca-de-mangalita-afumata-dimljena-mangulica-sunka/,MD-UNC_DE_MANGALI_A_AFUMAT_DIMLJENA_MANGULICA_SUNKA,Rumunjska,"Pršut | sušena šunka","dimljenje + sušenje + soljenje/salamurenje",YES,NO,YES,NO,YES,NO,NO,NO,NO,3,AUTO_FIX_RENDER_TEXT
2668,"CÂRNAŢI DE PLEŞCOI (Pleščojske kobasice)",https://drycured.com/recepti-baza/carnati-de-plescoi-plescojske-kobasice/,MD-CARNA_I_DE_PLE_COI_PLESCOJSKE_KOBASICE,Rumunjska,"Suha kobasica","mljevenje + punjenje + dimljenje/sušenje",NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2670,"GHIUDEM (Suha kobasica od ovčetine)",https://drycured.com/recepti-baza/ghiudem-suha-kobasica-od-ovcetine/,MD-GHIUDEM_SUHA_KOBASICA_OD_OVCETINE,Hrvatska,"Suha kobasica",sušenje,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,OK_CONTENT_BASIC
2682,"HIGHLAND VENISON HAM (DIMLJENA ŠUNKA OD JELENA)",https://drycured.com/recepti-baza/highland-venison-ham-dimljena-sunka-od-jelena/,MD-HIGHLAND_VENISON_HAM_DIMLJENA_SUNKA_OD_JELENA,Bugarska,"Pršut | sušena šunka","dimljenje + sušenje + zrenje + soljenje/salamurenje",YES,NO,NO,NO,YES,NO,NO,NO,NO,2,AUTO_FIX_RENDER_TEXT
