post_id,title,url,code,valid_dcv5_profile,source_chars,heading_like_count,has_radni_sazetak,has_sastojci,has_postupak,has_crijeva_omotac,has_cesnjak,has_gotovo_je_kad,has_greske_rjesenja,has_cuvanje_posluzivanje,has_internal_or_dirty_title,likely_not_drycured_recipe,render_group
2508,"SAVUPORONLIHA (DIMLJENO SOBOVO MESO)",https://drycured.com/recepti-baza/savuporonliha-dimljeno-sobovo-meso/,MD-SAVUPORONLIHA_DIMLJENO_SOBOVO_MESO,NO,3508,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2510,"ILMAKUIVATTU PORONPAISTI (ZRAČNO-SUŠENI SOBOV BUT)",https://drycured.com/recepti-baza/ilmakuivattu-poronpaisti-zracno-suseni-sobov-but/,MD-ILMAKUIVATTU_PORONPAISTI_ZRACNO_SUSENI_SOBOV_BUT,NO,3540,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2511,"GRAAVILOHI (GRAVLAX - FINSKI MARINIRANI LOSOS)",https://drycured.com/recepti-baza/graavilohi-gravlax-finski-marinirani-losos/,MD-GRAAVILOHI_GRAVLAX_FINSKI_MARINIRANI_LOSOS,NO,3601,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,REVIEW,FALLBACK_TO_STRUCTURE
2513,"LONZO CORSE",https://drycured.com/recepti-baza/lonzo-corse/,MD-LONZO_CORSE,NO,4156,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2525,"Dulse and Yellowman Bacon (Slanina s morskom travom)",https://drycured.com/recepti-baza/dulse-and-yellowman-bacon-slanina-s-morskom-travom/,MD-DULSE_AND_YELLOWMAN_BACON_SLANINA_S_MORSKOM_TRAVOM,NO,3578,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2526,"Caillín Báin (Bieli spek - Irska verzija slanine sa začinima)",https://drycured.com/recepti-baza/caillin-bain-bieli-spek-irska-verzija-slanine-sa-zacinima/,MD-CAILLIN_BAIN_BIELI_SPEK_IRSKA_VERZIJA_SLANINE_SA_ZACINIMA,NO,3800,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2527,"Marrowbone Roll (Rolana kobasica s koštanom srži)",https://drycured.com/recepti-baza/marrowbone-roll-rolana-kobasica-s-kostanom-srzi/,MD-MARROWBONE_ROLL_ROLANA_KOBASICA_S_KOSTANOM_SRZI,NO,4217,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2529,"Irski soljena govedina (Corned Beef)",https://drycured.com/recepti-baza/irski-soljena-govedina-corned-beef/,MD-IRSKI_SOLJENA_GOVEDINA_CORNED_BEEF,NO,3501,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2530,"Irska šunka u pivu (Beer-Cured Ham)",https://drycured.com/recepti-baza/irska-sunka-u-pivu-beer-cured-ham/,MD-IRSKA_SUNKA_U_PIVU_BEER_CURED_HAM,NO,3557,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2533,"Bjúgu (Islandska dimljena kobasica)",https://drycured.com/recepti-baza/bjugu-islandska-dimljena-kobasica/,MD-BJUGU_ISLANDSKA_DIMLJENA_KOBASICA,NO,4144,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2540,"Hrútspungar (Prešana janjeća muda)",https://drycured.com/recepti-baza/hrutspungar-presana-janjeca-muda/,MD-HRUTSPUNGAR_PRESANA_JANJECA_MUDA,NO,3601,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2543,"Lundabaggar (Dimljena prskalina od janjetine)",https://drycured.com/recepti-baza/lundabaggar-dimljena-prskalina-od-janjetine/,MD-LUNDABAGGAR_DIMLJENA_PRSKALINA_OD_JANJETINE,NO,3653,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2544,"Moldavska Cârnaţi de Oaie (Kobasica od Ovčetine)",https://drycured.com/recepti-baza/moldavska-carnati-de-oaie-kobasica-od-ovcetine/,MD-MOLDAVSKA_CARNA_I_DE_OAIE_KOBASICA_OD_OVCETINE,NO,4463,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2545,"Estonska Suitsusink (Dimljena Šunka)",https://drycured.com/recepti-baza/estonska-suitsusink-dimljena-sunka/,MD-ESTONSKA_SUITSUSINK_DIMLJENA_SUNKA,NO,3631,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2546,"Sudžuk (Sudžuk Kosovar)",https://drycured.com/recepti-baza/sudzuk-sudzuk-kosovar/,MD-SUDZUK_SUDZUK_KOSOVAR,NO,4067,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2549,"Suxhuk me Spec (Sudžuk s paprikom)",https://drycured.com/recepti-baza/suxhuk-me-spec-sudzuk-s-paprikom/,MD-SUXHUK_ME_SPEC_SUDZUK_S_PAPRIKOM,NO,4076,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2552,"Otočac Začinski Vrat s Planine (Mountainski naresak)",https://drycured.com/recepti-baza/otocac-zacinski-vrat-s-planine-mountainski-naresak/,MD-OTOCAC_ZACINSKI_VRAT_S_PLANINE_MOUNTAINSKI_NARESAK,YES,3541,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,DCV5_EXISTING
2553,"Skilandis (litavska dimljena kobasica)",https://drycured.com/recepti-baza/skilandis-litavska-dimljena-kobasica/,MD-SKILANDIS_LITAVSKA_DIMLJENA_KOBASICA,NO,4381,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2554,"Kindziukas (litavska dimljena šunka)",https://drycured.com/recepti-baza/kindziukas-litavska-dimljena-sunka/,MD-KINDZIUKAS_LITAVSKA_DIMLJENA_SUNKA,NO,3691,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2555,"Lašiniai (litavska slanina)",https://drycured.com/recepti-baza/lasiniai-litavska-slanina/,MD-LASINIAI_LITAVSKA_SLANINA,NO,3470,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2556,"Vytinta dešra (litavska suha kobasica)",https://drycured.com/recepti-baza/vytinta-desra-litavska-suha-kobasica/,MD-VYTINTA_DESRA_LITAVSKA_SUHA_KOBASICA,NO,4361,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2557,"Rūkyti lašišos (dimljen losos na litavski način)",https://drycured.com/recepti-baza/rukyti-lasisos-dimljen-losos-na-litavski-nacin/,MD-R_KYTI_LASISOS_DIMLJEN_LOSOS_NA_LITAVSKI_NACIN,NO,3683,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,REVIEW,FALLBACK_TO_STRUCTURE
2558,"Pounje Planinski Vrtlog",https://drycured.com/recepti-baza/pounje-planinski-vrtlog/,MD-POUNJE_PLANINSKI_VRTLOG,NO,3529,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2560,"Drežnički Šušanj",https://drycured.com/recepti-baza/dreznicki-susanj/,MD-DREZNICKI_SUSANJ,NO,3481,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2561,"Gospićki Vjetar",https://drycured.com/recepti-baza/gospicki-vjetar/,MD-GOSPICKI_VJETAR,NO,3451,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2563,"Maltežanska kobasica (Zalzett Malti)",https://drycured.com/recepti-baza/maltezanska-kobasica-zalzett-malti/,MD-MALTEZANSKA_KOBASICA_ZALZETT_MALTI,NO,4000,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2564,"Maltežanski pršut (Prosciutto Malti)",https://drycured.com/recepti-baza/maltezanski-prsut-prosciutto-malti/,MD-MALTEZANSKI_PRSUT_PROSCIUTTO_MALTI,NO,3502,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2565,"Maltežanska suha govedina (Carne Secca Maltija)",https://drycured.com/recepti-baza/maltezanska-suha-govedina-carne-secca-maltija/,MD-MALTEZANSKA_SUHA_GOVEDINA_CARNE_SECCA_MALTIJA,NO,3469,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2571,"Zaprešićki Vrganjevi Narezak",https://drycured.com/recepti-baza/zapresicki-vrganjevi-narezak/,MD-ZAPRESICKI_VRGANJEVI_NAREZAK,NO,3530,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2572,"Medžimurski Divljač Narezak",https://drycured.com/recepti-baza/medzimurski-divljac-narezak/,MD-MEDZIMURSKI_DIVLJAC_NAREZAK,NO,3513,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2573,"Gornjomurečki Začinski Narezak",https://drycured.com/recepti-baza/gornjomurecki-zacinski-narezak/,MD-GORNJOMURECKI_ZACINSKI_NAREZAK,NO,3492,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2574,"ȘUNCĂ AFUMATĂ (DIMLJENA ŠUNKA)",https://drycured.com/recepti-baza/sunca-afumata-dimljena-sunka/,MD-UNC_AFUMAT_DIMLJENA_SUNKA,NO,3396,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2575,"PASTRAMĂ DE OAIE (OVČJA PASTRAMA)",https://drycured.com/recepti-baza/pastrama-de-oaie-ovcja-pastrama/,MD-PASTRAM_DE_OAIE_OVCJA_PASTRAMA,NO,3659,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2576,"CÂRNAȚ AFUMAT (DIMLJENE KOBASICE)",https://drycured.com/recepti-baza/carnat-afumat-dimljene-kobasice/,MD-CARNA_AFUMAT_DIMLJENE_KOBASICE,NO,4263,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2577,"Droge Worst (Suha kobasica)",https://drycured.com/recepti-baza/droge-worst-suha-kobasica/,MD-DROGE_WORST_SUHA_KOBASICA,NO,4064,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2579,"Spekdikken (Slanina s medom)",https://drycured.com/recepti-baza/spekdikken-slanina-s-medom/,MD-SPEKDIKKEN_SLANINA_S_MEDOM,NO,3442,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2587,"VOSSAKORV (TRADICIONALNA DIMLJENA KOBASICA IZ VOSSA)",https://drycured.com/recepti-baza/vossakorv-tradicionalna-dimljena-kobasica-iz-vossa/,MD-VOSSAKORV_TRADICIONALNA_DIMLJENA_KOBASICA_IZ_VOSSA,NO,4413,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2589,"SPEKELÅR (SUŠENA I DIMLJENA JELEN/SRNETINA)",https://drycured.com/recepti-baza/spekelar-susena-i-dimljena-jelen-srnetina/,MD-SPEKELAR_SUSENA_I_DIMLJENA_JELEN_SRNETINA,NO,3819,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2594,"GRAVET LAKS (GRAVLAKS - MARINIRANI LOSOS)",https://drycured.com/recepti-baza/gravet-laks-gravlaks-marinirani-losos/,MD-GRAVET_LAKS_GRAVLAKS_MARINIRANI_LOSOS,NO,3686,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,REVIEW,FALLBACK_TO_STRUCTURE
2597,"FENALÅR (SUŠENI BUT JANJETA)",https://drycured.com/recepti-baza/fenalar-suseni-but-janjeta/,MD-FENALAR_SUSENI_BUT_JANJETA,NO,3642,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2598,"SPEKESKINKE (NORŠKA PRŠUTA)",https://drycured.com/recepti-baza/spekeskinke-norska-prsuta/,MD-SPEKESKINKE_NORSKA_PRSUTA,NO,3571,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2600,"MORR (NORVEŠKA KOBASICA)",https://drycured.com/recepti-baza/morr-norveska-kobasica/,MD-MORR_NORVESKA_KOBASICA,NO,4136,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2603,"Vinkovački Aromatični Začinski Špek",https://drycured.com/recepti-baza/vinkovacki-aromaticni-zacinski-spek/,MD-VINKOVACKI_AROMATICNI_ZACINSKI_SPEK,NO,3492,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2604,"Osiječki Ljuti Začinski Vrat s Divljim Travkama",https://drycured.com/recepti-baza/osijecki-ljuti-zacinski-vrat-s-divljim-travkama/,MD-OSIJECKI_LJUTI_ZACINSKI_VRAT_S_DIVLJIM_TRAVKAMA,YES,3645,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,DCV5_EXISTING
2606,"Požeški Aromatični Sušeni Vrat s Divljim Travkama",https://drycured.com/recepti-baza/pozeski-aromaticni-suseni-vrat-s-divljim-travkama/,MD-POZESKI_AROMATICNI_SUSENI_VRAT_S_DIVLJIM_TRAVKAMA,YES,3642,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,DCV5_EXISTING
2608,"Kuru Et (Suho meso sa smrekom)",https://drycured.com/recepti-baza/kuru-et-suho-meso-sa-smrekom/,MD-KURU_ET_SUHO_MESO_SA_SMREKOM,NO,3459,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2610,"Tulum Peyniri Dolgulu Et (Meso punjeno sirom)",https://drycured.com/recepti-baza/tulum-peyniri-dolgulu-et-meso-punjeno-sirom/,MD-TULUM_PEYNIRI_DOLGULU_ET_MESO_PUNJENO_SIROM,NO,3614,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,REVIEW,FALLBACK_TO_STRUCTURE
2614,"Virovski Čvarci",https://drycured.com/recepti-baza/virovski-cvarci/,MD-VIROVSKI_CVARCI,NO,3320,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2616,"BALERON (POLJSKA DIMLJENA VRATINA)",https://drycured.com/recepti-baza/baleron-poljska-dimljena-vratina/,MD-BALERON_POLJSKA_DIMLJENA_VRATINA,NO,3655,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2620,"SZYNKA WĘDZONA (DIMLJENA ŠUNKA)",https://drycured.com/recepti-baza/szynka-wedzona-dimljena-sunka/,MD-SZYNKA_W_DZONA_DIMLJENA_SUNKA,NO,3470,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2621,"BOCZEK WĘDZONY (DIMLJENA SLANINA)",https://drycured.com/recepti-baza/boczek-wedzony-dimljena-slanina/,MD-BOCZEK_W_DZONY_DIMLJENA_SLANINA,NO,3467,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2622,"Chouriço Tradicional Português (Tradicionalna portugalska kobasica)",https://drycured.com/recepti-baza/chourico-tradicional-portugues-tradicionalna-portugalska-kobasica/,MD-CHOURICO_TRADICIONAL_PORTUGUES_TRADICIONALNA_PORTUGALSKA_KOBASICA,NO,4224,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2623,"Presunto Português (Portugalska pršuta)",https://drycured.com/recepti-baza/presunto-portugues-portugalska-prsuta/,MD-PRESUNTO_PORTUGUES_PORTUGALSKA_PRSUTA,NO,3526,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2624,"Paio Alentejano (Alentejanska kobasica)",https://drycured.com/recepti-baza/paio-alentejano-alentejanska-kobasica/,MD-PAIO_ALENTEJANO_ALENTEJANSKA_KOBASICA,NO,4379,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2625,"Farinheira Alentejana (Kobasica s brašnom iz Alenteja)",https://drycured.com/recepti-baza/farinheira-alentejana-kobasica-s-brasnom-iz-alenteja/,MD-FARINHEIRA_ALENTEJANA_KOBASICA_S_BRASNOM_IZ_ALENTEJA,NO,4497,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2627,"Chouriço de Vinho (Kobasica s Vinom)",https://drycured.com/recepti-baza/chourico-de-vinho-kobasica-s-vinom/,MD-CHOURICO_DE_VINHO_KOBASICA_S_VINOM,NO,4221,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2628,"Paio do Alentejo (Alentejo Dimljena Kobasica)",https://drycured.com/recepti-baza/paio-do-alentejo-alentejo-dimljena-kobasica/,MD-PAIO_DO_ALENTEJO_ALENTEJO_DIMLJENA_KOBASICA,NO,4195,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2629,"Alheira de Mirandela (Kobasica iz Mirandele)",https://drycured.com/recepti-baza/alheira-de-mirandela-kobasica-iz-mirandele/,MD-ALHEIRA_DE_MIRANDELA_KOBASICA_IZ_MIRANDELE,NO,4299,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2631,"Rovinjska Kobasica",https://drycured.com/recepti-baza/rovinjska-kobasica/,MD-ROVINJSKA_KOBASICA,NO,3869,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2632,"Krčki Sir-Kobasica",https://drycured.com/recepti-baza/krcki-sir-kobasica/,MD-KRCKI_SIR_KOBASICA,NO,3928,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,REVIEW,FALLBACK_TO_STRUCTURE
2633,"Senjska Šunka",https://drycured.com/recepti-baza/senjska-sunka/,MD-SENJSKA_SUNKA,NO,3242,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2637,"Tradicionalni Thüringer Schinken (Tirinška šunka)",https://drycured.com/recepti-baza/tradicionalni-thuringer-schinken-tirinska-sunka/,MD-TRADICIONALNI_THURINGER_SCHINKEN_TIRINSKA_SUNKA,NO,3450,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2638,"Bavarski Bierschinken (Šunka od piva)",https://drycured.com/recepti-baza/bavarski-bierschinken-sunka-od-piva/,MD-BAVARSKI_BIERSCHINKEN_SUNKA_OD_PIVA,NO,3510,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2645,"Viganjska kobasica od divlje svinje s tavom",https://drycured.com/recepti-baza/viganjska-kobasica-od-divlje-svinje-s-tavom/,MD-VIGANJSKA_KOBASICA_OD_DIVLJE_SVINJE_S_TAVOM,NO,3953,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2664,"BABIC (Tradicionalna babić kobasica)",https://drycured.com/recepti-baza/babic-tradicionalna-babic-kobasica/,MD-BABIC_TRADICIONALNA_BABIC_KOBASICA,NO,4432,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2665,"MUȘCHI ȚIGĂNESC (Ciganski vrat)",https://drycured.com/recepti-baza/muschi-tiganesc-ciganski-vrat/,MD-MU_CHI_IG_NESC_CIGANSKI_VRAT,NO,3869,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2666,"CÂRNAȚI DE BURDUF (Sirnate kobasice)",https://drycured.com/recepti-baza/carnati-de-burduf-sirnate-kobasice/,MD-CARNA_I_DE_BURDUF_SIRNATE_KOBASICE,NO,4285,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,REVIEW,FALLBACK_TO_STRUCTURE
2667,"ȘUNCĂ DE MANGALIȚA AFUMATĂ (Dimljena mangulica šunka)",https://drycured.com/recepti-baza/sunca-de-mangalita-afumata-dimljena-mangulica-sunka/,MD-UNC_DE_MANGALI_A_AFUMAT_DIMLJENA_MANGULICA_SUNKA,NO,3829,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2668,"CÂRNAŢI DE PLEŞCOI (Pleščojske kobasice)",https://drycured.com/recepti-baza/carnati-de-plescoi-plescojske-kobasice/,MD-CARNA_I_DE_PLE_COI_PLESCOJSKE_KOBASICE,NO,4270,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2670,"GHIUDEM (Suha kobasica od ovčetine)",https://drycured.com/recepti-baza/ghiudem-suha-kobasica-od-ovcetine/,MD-GHIUDEM_SUHA_KOBASICA_OD_OVCETINE,NO,4177,9,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2682,"HIGHLAND VENISON HAM (DIMLJENA ŠUNKA OD JELENA)",https://drycured.com/recepti-baza/highland-venison-ham-dimljena-sunka-od-jelena/,MD-HIGHLAND_VENISON_HAM_DIMLJENA_SUNKA_OD_JELENA,NO,3736,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2683,"EDINBURGH POTTED HOG (KONZERVIRANO SVINJSKO MESO)",https://drycured.com/recepti-baza/edinburgh-potted-hog-konzervirano-svinjsko-meso/,MD-EDINBURGH_POTTED_HOG_KONZERVIRANO_SVINJSKO_MESO,NO,3964,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2684,"ŠKOTSKI HAGGIS",https://drycured.com/recepti-baza/skotski-haggis/,MD-SKOTSKI_HAGGIS,NO,3665,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2687,"AYRSHIRE PRESAVICA (AYRSHIRE MIDDLE CUT)",https://drycured.com/recepti-baza/ayrshire-presavica-ayrshire-middle-cut/,MD-AYRSHIRE_PRESAVICA_AYRSHIRE_MIDDLE_CUT,NO,3761,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2688,"HIGHLANDS JERKY (SUŠENA DIVLJAČ)",https://drycured.com/recepti-baza/highlands-jerky-susena-divljac/,MD-HIGHLANDS_JERKY_SUSENA_DIVLJAC,NO,3760,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2689,"KopačkiRib Začinska Štruca",https://drycured.com/recepti-baza/kopackirib-zacinska-struca/,MD-KOPACKIRIB_ZACINSKA_STRUCA,NO,3544,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2691,"Valpovačka Zimska Devenica",https://drycured.com/recepti-baza/valpovacka-zimska-devenica/,MD-VALPOVACKA_ZIMSKA_DEVENICA,NO,3487,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2692,"Požeška Začinska Štruca",https://drycured.com/recepti-baza/pozeska-zacinska-struca/,MD-POZESKA_ZACINSKA_STRUCA,NO,3486,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2693,"Osječki Začinski Špek",https://drycured.com/recepti-baza/osjecki-zacinski-spek/,MD-OSJECKI_ZACINSKI_SPEK,NO,3442,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2694,"Požeški Pikantni Vrat",https://drycured.com/recepti-baza/pozeski-pikantni-vrat/,MD-POZESKI_PIKANTNI_VRAT,YES,3573,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,DCV5_EXISTING
2695,"Slavonsko-Brodski Ljuti Čvarci",https://drycured.com/recepti-baza/slavonsko-brodski-ljuti-cvarci/,MD-SLAVONSKO_BRODSKI_LJUTI_CVARCI,NO,3568,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2696,"Nasički Fermentirani Vrat",https://drycured.com/recepti-baza/nasicki-fermentirani-vrat/,MD-NASICKI_FERMENTIRANI_VRAT,YES,3552,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,DCV5_EXISTING
2697,"Baranjska Ljuta Slavonska Kobasica",https://drycured.com/recepti-baza/baranjska-ljuta-slavonska-kobasica/,MD-BARANJSKA_LJUTA_SLAVONSKA_KOBASICA,NO,3937,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2698,"Slavonska Domaća Suhomesnata Salama",https://drycured.com/recepti-baza/slavonska-domaca-suhomesnata-salama/,MD-SLAVONSKA_DOMACA_SUHOMESNATA_SALAMA,NO,3972,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2699,"Baranjska Fermenetirana Kobasica",https://drycured.com/recepti-baza/baranjska-fermenetirana-kobasica/,MD-BARANJSKA_FERMENETIRANA_KOBASICA,NO,3849,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2701,"Vukovarska Tradicionalna Kobasica",https://drycured.com/recepti-baza/vukovarska-tradicionalna-kobasica/,MD-VUKOVARSKA_TRADICIONALNA_KOBASICA,NO,3823,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2702,"Baranjski Začinski Špek s Pustara Začinima",https://drycured.com/recepti-baza/baranjski-zacinski-spek-s-pustara-zacinima/,MD-BARANJSKI_ZACINSKI_SPEK_S_PUSTARA_ZACINIMA,NO,3409,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2703,"Erdutski Fermentirani Vrat s Podunavskim Začinima",https://drycured.com/recepti-baza/erdutski-fermentirani-vrat-s-podunavskim-zacinima/,MD-ERDUTSKI_FERMENTIRANI_VRAT_S_PODUNAVSKIM_ZACINIMA,YES,3705,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,DCV5_EXISTING
2704,"Osječko-Baranjski Ljuti Špek s Divljim Travama",https://drycured.com/recepti-baza/osjecko-baranjski-ljuti-spek-s-divljim-travama/,MD-OSJECKO_BARANJSKI_LJUTI_SPEK_S_DIVLJIM_TRAVAMA,NO,3343,11,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,FALLBACK_TO_STRUCTURE
2705,"Vukovarski Fermentirani Vrat s Podunavskim Začinima",https://drycured.com/recepti-baza/vukovarski-fermentirani-vrat-s-podunavskim-zacinima/,MD-VUKOVARSKI_FERMENTIRANI_VRAT_S_PODUNAVSKIM_ZACINIMA,YES,3678,10,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,DCV5_EXISTING
